coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
770834,unknown,s.d.,,"Eriogonum humivagans",1,"J. L. Reveal",Eriogonum,humivagans,,,,,urn:uuid:d37939be-b0f7-42a1-b5b4-0267c3347321,"2023-07-16 05:07:11"
770845,unknown,s.d.,,"Eriogonum saurinum",1,"J. L. Reveal",Eriogonum,saurinum,,,,,urn:uuid:26dcb306-44a7-48cd-89ad-e27161a59344,"2023-07-16 05:07:11"
6330129,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & A. Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:a9022969-fecb-402a-b2c1-2ff93e7ef772,"2023-07-16 05:07:11"
21607486,unknown,s.d.,,"Eriogonum lonchophyllum var. nudicaule",1,"(Torr.) Reveal",Eriogonum,lonchophyllum,var.,nudicaule,,,urn:uuid:bed5a6ae-5c24-4372-a8c4-3bc0bf88bff3,"2023-07-16 05:07:11"
21607494,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:04774e9a-083f-4e69-9821-5db006d3c19d,"2023-07-16 05:07:11"
21607499,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:c4fdcea9-2c9a-4d0d-ab6c-ab77db32cb1a,"2023-07-16 05:07:11"
21607501,"J.L. Reveal",2003,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:71b984e6-e5b6-46e7-b106-75a5a27938ca,"2023-07-16 05:07:11"
21607504,"J.L. Reveal",1973,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:68a72156-b2f4-4db3-a31e-43107cc88f5e,"2023-07-16 05:07:11"
21607506,"J. Anderson",1987,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:1a140ad6-71b9-4b1b-942b-e2b17b4581c1,"2023-07-16 05:07:11"
21607509,"J. Anderson",1987,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:80833597-bcf8-4752-80d3-8e9fa66449b2,"2023-07-16 05:07:11"
