coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
240129,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00232/UTC00232359_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00232/UTC00232359_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00232/UTC00232359_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00232/UTC00232359.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:f07ab02b-2f27-4115-bd1a-b2e8e0017896,"2015-06-26 14:52:43",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=240129,StillImage,Photograph,en
246088,https://api.idigbio.org/v2/media/f1727536aa1184df0a5f5929393d39d1?size=fullsize,https://api.idigbio.org/v2/media/f1727536aa1184df0a5f5929393d39d1?size=fullsize,https://api.idigbio.org/v2/media/f1727536aa1184df0a5f5929393d39d1?size=thumbnail,https://api.idigbio.org/v2/media/f1727536aa1184df0a5f5929393d39d1?size=webview,http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:32aaaf0e-5d38-4b8f-bef7-3565d0b1bcdd,"2016-07-28 14:27:51",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=246088,StillImage,Photograph,en
250162,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00243/UTC00243637_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00243/UTC00243637_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00243/UTC00243637_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/UTC/UTC00243/UTC00243637.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d10be4fa-399f-4083-8a71-16707e307dd4,"2015-06-26 15:00:25",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=250162,StillImage,Photograph,en
257015,https://api.idigbio.org/v2/media/837cff3b93f27120dc99eaf9186fc362?size=fullsize,https://api.idigbio.org/v2/media/837cff3b93f27120dc99eaf9186fc362?size=fullsize,https://api.idigbio.org/v2/media/837cff3b93f27120dc99eaf9186fc362?size=thumbnail,https://api.idigbio.org/v2/media/837cff3b93f27120dc99eaf9186fc362?size=webview,http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:87bb94d0-c173-4730-bf58-9e1ec5ec1b48,"2017-12-18 10:17:30",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=257015,StillImage,Photograph,en
505231,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142948_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142948_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142948_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142948.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:663ca016-2633-4bd5-911e-06cba3d9e00a,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505231,StillImage,Photograph,en
505232,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142950_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142950_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142950_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142950.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5093d5f6-15f9-44bc-9b82-db7632fd5337,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505232,StillImage,Photograph,en
505233,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142949_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142949_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142949_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142949.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:7272c792-72bf-43f8-8c91-0c0073041552,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505233,StillImage,Photograph,en
505234,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142951_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142951_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142951_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142951.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:69ae4fdf-e2c3-4551-a76f-684787cd8c6d,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505234,StillImage,Photograph,en
505367,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142919_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142919_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142919_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142919.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5c88946f-2f2a-4b75-a2c1-a12d4b6c1f4c,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505367,StillImage,Photograph,en
505368,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142923_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142923_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142923_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0014/142923.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:0e9dffda-1ea3-49ca-9303-492146f58c68,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505368,StillImage,Photograph,en
