coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
6332196,"James L. Reveal",1968,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:3f0b7def-6eab-4e31-a8fe-6b4633e4d738,"2023-07-16 05:07:11"
6332194,"James L. Reveal",1968,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:9ac75b3f-6198-4930-a0f1-950c5bcb4fd3,"2023-07-16 05:07:11"
6332197,"James L. Reveal",1968,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:0af7e652-75bc-4590-a701-52ec787cc818,"2023-07-16 05:07:11"
374448,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:e169465d-a3c5-44fa-a1e7-a2f6a0fb1ba0,"2023-07-16 05:07:11"
3003447,"Charles F. Williams",2010,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:b9e15603-0f2e-495c-ab8b-734f03b19eaa,"2023-07-16 05:07:11"
3413388,"Charles F. Williams",2010,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:334866a0-d358-459b-a8b0-6383593393bc,"2023-07-16 05:07:11"
505148,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:b16992ff-2992-4eb0-85c9-04e3aaea5ca7,"2023-07-16 05:07:11"
505146,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:a65920b6-d401-49ca-b796-572f747cbe37,"2023-07-16 05:07:11"
505145,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:be18cc0d-8ff9-487c-b186-eba99f381832,"2023-07-16 05:07:11"
27210959,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:c8ce6e8a-87ec-4e63-b16c-f03bf306b2a7,"2023-07-16 05:07:11"
27212023,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:8aded0bb-136e-4124-9abf-b7b773190d77,"2023-07-16 05:07:11"
27210961,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:9c76738a-edf8-43ce-8765-f07c621f05b9,"2023-07-16 05:07:11"
505147,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:1a7b41c2-5bb3-4582-a361-c612834c10c0,"2023-07-16 05:07:11"
530268,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:2a752ebb-2819-4703-a03e-7bbb46f86040,"2023-07-16 05:07:11"
27210960,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:2db6504f-54f2-40ba-b0e4-bc499d6ea13c,"2023-07-16 05:07:11"
19993498,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:596bd3be-dce3-4847-99b0-cdb55643083a,"2023-07-16 05:07:11"
25287585,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:8b669bd8-7430-4bd2-97de-dafa31ec577e,"2023-07-16 05:07:11"
15234945,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:e178f099-9ca3-4d37-98d6-4fd8464ac088,"2023-07-16 05:07:11"
24768059,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:ece7cd82-f26b-4b94-b691-4f70756a11fb,"2023-07-16 05:07:11"
24718427,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:3525f9c7-554e-4170-a836-b63e474662df,"2023-07-16 05:07:11"
24643259,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:7876f2a1-bb09-4cf7-9cf6-a134a7162efe,"2023-07-16 05:07:11"
19990017,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:4298dd29-9922-41cf-9771-24cee65a818e,"2023-07-16 05:07:11"
2816925,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:002e5fbe-2500-46e6-9a76-24beddce2b2c,"2023-07-16 05:07:11"
19995893,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:5fadfd0e-f5cf-4f79-87d5-c17e3071273d,"2023-07-16 05:07:11"
4835148,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:80c30581-212b-41df-96b0-929471c43f0a,"2014-10-03 06:18:38"
4835148,"not specified","not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:9033cdff-8429-48bb-a900-d4e146a62e07,"2021-01-07 16:23:24"
4835148,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:1b2392a4-d85e-47c7-8d4f-438c572e6948,"2023-07-16 05:07:11"
4835531,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:406bd627-885e-48a7-a540-b15705ef3fbe,"2014-10-03 06:18:38"
4835531,"not specified","not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:36730a62-a21f-45f5-992f-999ce960bf6f,"2021-01-07 16:23:24"
4835531,unknown,s.d.,,"Eriogonum coloradense",1,Small,Eriogonum,coloradense,,,,,urn:uuid:ebb829b5-fc6b-4a31-91c5-e6932e875023,"2023-07-16 05:07:11"
4839371,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:68b19dce-0fd4-4860-8f85-9e3537b26601,"2014-10-03 06:18:38"
