id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
374448,UCR,,,PreservedSpecimen,UCR-BPS-6605,,UCR-6605,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"Carol Chaney",,s.n.,1960-07-16,,1960,7,16,198,,1960-7-16,,"Shale slope.",,,,,,,,,,,Flowering,,,,,,,,,,,,"United States",Colorado,Gunnison,,"N slope of Belleview Mountain",,,,39.04444,-106.99806,,,,,,TopoZoneTS,,,3659,,,,,,,,,"2022-04-24 16:03:21",1517728,9,ebb66299-f5fa-42ff-882f-2911db418b31,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374448
505145,CS,,,PreservedSpecimen,01eae703-e2ef-4384-bfb9-324ff1be4608,109998,39206,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"collectors: N Russell 10053",,,1959-06-29,,1959,6,29,180,,"29 Jun 1959",,"open steep shaly slope, SW expos",,,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Gunnison County",,"4 mi N of Gothic, 12 mi N of Crested Butte near Emerald Lake",,,,39,-107.03,WGS84,,,,,,,,3200,,,,,10499ft.,,en,,"2017-01-16 18:02:08",9868,30,01eae703-e2ef-4384-bfb9-324ff1be4608,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505145
505146,CS,,,PreservedSpecimen,a3db1ce8-bcfd-4905-a51c-7be9fe77d7f9,102217,68284,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"collectors: W Grey 1461",,,1981-07-31,,1981,7,31,212,,"31 Jul 1981",,"sandstone talus",,,,,,,,,,"Valeriana, Penstemon, Festuca",,,,,,1,,,,,,,"United States",Colorado,"Gunnison County",,"E facing slope of S Ridge of Avery Peak, Virginia Basin",,,,38.96,-106.98,WGS84,,,,,,,,3596,,,,,11798ft.,,en,,"2017-01-16 18:02:07",2165,30,a3db1ce8-bcfd-4905-a51c-7be9fe77d7f9,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505146
505147,CS,,,PreservedSpecimen,ccb032dc-f9f1-4c09-a87f-927ea73b8dd8,109996,48464,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"collectors: D Bathke 569",,,1967-07-24,,1967,7,24,205,,"24 Jul 1967",,"dry meadow, E expos, fine gravel & rocks",,,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Gunnison County",,"Robinson Basin, 30 mi N of Gunnison, 8 mi W of Crested Butte, 2 mi N of Kebler Pass",,,,38.86,-107.13,WGS84,,,,,,,,3444,,,,,11300ft.,,en,,"2017-01-16 18:02:07",41341,30,ccb032dc-f9f1-4c09-a87f-927ea73b8dd8,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505147
505148,CS,,,PreservedSpecimen,b4f4a881-cced-4517-8fcc-78c6c0e209c0,109999,34526,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"collectors: H Harrington & Y Matsumura",,,1952-08-05,,1952,8,5,218,,"5 Aug 1952",,"open slope",,,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Park County",,"near Como",,,,,,WGS84,,,,,,,,2956,,,,,9699ft.,,en,,"2017-01-16 18:02:07",9869,30,b4f4a881-cced-4517-8fcc-78c6c0e209c0,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505148
530268,CS,,,PreservedSpecimen,1fcffb1a-1267-4c7c-9dda-e596a325279f,109997,91957,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"collectors: Melanie Arnett",,6384,1999-08-05,,1999,8,5,217,,"5 Aug 1999",,"Ash beds in mountain parkland.",,,,,,,,"herbariumSpecimenDuplicate: https://www.soroherbaria.org/portal/collections/individual/index.php?guid=f766a4ce-15ad-4bb7-b0b2-f6f25ef935a2",,,,,,,,1,,,,,,,"United States",Colorado,"Saguache County",,"Southern Gunnison Basin: Cochetopa Park: ash beds along Los Creek between County roads 17-FF and 17-GG, ca 3.4 air mi SSE of Cochetopa Dome.",,,,38.17,-106.68,WGS84,,,,,,,,2798,,,,,9180ft.,,en,,"2017-01-16 15:01:09",9867,30,1fcffb1a-1267-4c7c-9dda-e596a325279f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=530268
1353187,RM,,RM,PreservedSpecimen,,750564,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"Melanie Arnett",,6384,1999-08-05,,1999,8,5,217,,1999-8-5,,"Ash beds in mountain parkland.",,,,,,,,"herbariumSpecimenDuplicate: https://www.soroherbaria.org/portal/collections/individual/index.php?guid=1fcffb1a-1267-4c7c-9dda-e596a325279f",,,flowering,,,,,,,,,,,,U.S.A.,Colorado,Saguache,,"Southern Gunnison Basin: Cochetopa Park: ash beds along Los Creek between County roads 17-FF and 17-GG, ca 3.4 air mi SSE of Cochetopa Dome.",,,,38.1711,-106.6818,,,"38.1711� N, 106.6818� W; T45N R3E S7 NW1/4; also T45N R2E S12 NE1/4",,,,,,2799,2811,,,,"9180-9220 ft.",,English,,"2009-03-19 15:24:24",RM-305147,50,f766a4ce-15ad-4bb7-b0b2-f6f25ef935a2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1353187
1502347,RM,,RM,PreservedSpecimen,,339918,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"Barry C. Johnston, Pete Lucas",,1320,1977-07-13,,1977,7,13,194,,1977-7-13,,"60% SS-facing talus slope with gravel on surface and hard-caked fine soil 1-2 in below surface. Growing with Stellaria irrigua, Erni, Ligularia soldanella.",,,,,,,,,,,"flowering and fruiting",,,,,,,,,,,,U.S.A.,Colorado,Gunnison,,"Gunnison National Forest: just SS of false summit between E and W summits of Mt. Bellview.",,,,39.01196,-107.02182,"NAD 83",,,,,"Nat. Geog. TOPO!",,,3671,,,,,"12040 ft.",,English,,"2013-02-06 11:10:20",RM-456572,50,71d3e1e5-b7d6-4ced-862e-7022994f3457,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1502347
1502514,RM,,RM,PreservedSpecimen,,315101,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"Barry C. Johnston, Pete Lucas",,1866,1978-08-03,,1978,8,3,215,,"03 Aug 1978",,"Flat-sided moderately-steep WW-facing shale talus slope. Growing with Senecio porteri, Potentilla ovina, Penstemon harbourii, Crepis nana, Ligularia soldanella.",,,,,,,,"herbariumSpecimenDuplicate: https://www.soroherbaria.org/portal/collections/individual/index.php?guid=5d627d60-5e4c-43fc-baa7-a85d53e1737a",,,flowering,,,,,,,,,,,,U.S.A.,Colorado,Gunnison,,"Just west of the west summit of Mt. Belleview, north of Gothic.",,,,,,,,"T12S R86W S17 SW1/4 of NW1/4",,,,,,3715,3750,,,,"3715-3750 m.",,English,,"2012-02-16 17:04:04",RM-456722,50,b483b27a-b3e7-40d6-b999-6592b060b54c,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1502514
1502515,RM,,RM,PreservedSpecimen,,339975,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum coloradense",83090,Small,Eriogonum,,coloradense,,,Species,,,,,,,,"Barry C. Johnston, Pete Lucas",,1866,1978-08-03,,1978,8,3,215,,"03 Aug 1978",,"Flat-sided moderately-steep WW-facing Mancos-shale talus slope. Growing with Senecio porteri, Taraxacum eriophorum, Crepis nana, Penstemon harbourii.",,,,,,,,"herbariumSpecimenDuplicate: https://www.soroherbaria.org/portal/collections/individual/index.php?guid=b483b27a-b3e7-40d6-b999-6592b060b54c",,,flowering,,,,,,,,,,,,U.S.A.,Colorado,Gunnison,,"White River National Forest: west of the west summit of Mt. Belleview, north of Gothic.",,,,39.01592,-107.02621,"NAD 83",,"T12S R86W S17 SW1/4 of NW1/4",,,"Nat. Geog. TOPO!",,,3735,,,,,"12250 ft.",,English,,"2013-02-06 11:10:20",RM-456723,50,5d627d60-5e4c-43fc-baa7-a85d53e1737a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1502515
