coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
505145,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109998_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109998_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109998_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109998.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8d0a1b53-ca1d-44a9-aabc-2fd3200fab08,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505145,StillImage,Photograph,en
505146,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/102217_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/102217_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/102217_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/102217.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:e4eb3ffb-a450-465a-8c92-661ea93ddf5c,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505146,StillImage,Photograph,en
505147,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109996_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109996_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109996_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109996.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:fa4c2f4a-6cef-4a1f-b80c-5cc15b102cb7,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505147,StillImage,Photograph,en
530268,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109997_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109997_lg.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109997_tn.jpg,https://www.soroherbaria.org/imglib/seinet/soro/CS/0010/109997.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Colorado State University, Charles Maurer Herbarium (CS-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8d1a4819-33a1-44e9-a4eb-7bc689b42979,"2021-01-12 08:31:18",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=530268,StillImage,Photograph,en
2816925,http://sweetgum.nybg.org/images3/590/187/00323209.jpg,http://sweetgum.nybg.org/images3/590/187/00323209.jpg,https://www.soroherbaria.org/imglib/storage/portals/seinet/midwest/misc/201504/webmedia_1429772122_tn.jpg,https://www.soroherbaria.org/imglib/storage/portals/seinet/midwest/misc/201504/webmedia_1429772122_web.jpg,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:da0d31cb-72c0-4b51-8770-a9a1aaee6208,"2017-06-20 15:41:04",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=2816925,StillImage,Photograph,en
3030012,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009659_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009659_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009659_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009659.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:7c9458b1-23c3-41b3-b0db-82a10c1f2008,"2015-05-06 10:23:33",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030012,StillImage,Photograph,en
3030013,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009692_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009692_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009692_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009692.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:ab8dac45-92ee-4639-8ef5-6e4fd3205015,"2015-05-06 10:53:22",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030013,StillImage,Photograph,en
3030014,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003041_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003041_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003041_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003041.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:61faae83-4fd9-4341-bbe8-1a459fdcface,"2015-05-06 10:51:46",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030014,StillImage,Photograph,en
3030015,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003039_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003039_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003039_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003039.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3d7aa616-df5d-416d-88fe-011a6df03520,"2015-05-06 16:42:46",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030015,StillImage,Photograph,en
3030016,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003042_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003042_lg.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003042_tn.jpg,https://www.soroherbaria.org/imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003042.JPG,http://creativecommons.org/licenses/by-nc/3.0/,"Rocky Mountain Biological Laboratory (RMBL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:f4b3ba4d-4e88-4bad-898e-988039600653,"2015-05-06 12:14:37",image/jpeg,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3030016,StillImage,Photograph,en
