id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3650927,Sat Jul 09 2016 09:35:21 GMT-0600 (MDT),2016-07-09,2016-07-09 15:35:21 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2016-07-10 00:21:40 UTC,2021-01-25 16:33:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3650927,https://inaturalist-open-data.s3.amazonaws.com/photos/4224082/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9840906253,-107.0334053134,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
3692403,Sat Jul 16 2016 11:41:45 GMT-0600 (MDT),2016-07-16,2016-07-16 17:41:45 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2016-07-17 14:37:39 UTC,2021-01-25 16:32:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3692403,https://inaturalist-open-data.s3.amazonaws.com/photos/4283694/medium.jpeg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9675768931,-106.9516696875,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
3717324,2016/07/21 11:51 AM MST,2016-07-21,2016-07-21 17:51:00 UTC,Mountain Time (US & Canada),272660,jbraasch,,2016-07-21 21:58:36 UTC,2021-01-25 16:32:37 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3717324,https://inaturalist-open-data.s3.amazonaws.com/photos/4319315/medium.jpeg,,"",Ridgetop of Virginia Basin,2,0,false,,"Gunnison County, CO, USA",38.9865888889,-106.9693,,,,,,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
6769777,Fri Jun 23 2017 10:53:56 GMT-0600 (MDT),2017-06-23,2017-06-23 16:53:56 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2017-06-23 21:21:27 UTC,2021-01-25 16:32:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6769777,https://inaturalist-open-data.s3.amazonaws.com/photos/8603846/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9819688304,-106.9783646242,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7026222,Mon Jul 10 2017 10:28:31 GMT-0600 (MDT),2017-07-10,2017-07-10 16:28:31 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-12 18:15:32 UTC,2021-01-25 16:32:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7026222,https://inaturalist-open-data.s3.amazonaws.com/photos/9010754/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.9989791485,-107.0397902281,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7196812,Sun Jul 23 2017 10:34:17 GMT-0600 (MDT),2017-07-23,2017-07-23 16:34:17 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-25 01:24:08 UTC,2021-01-25 16:32:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7196812,https://inaturalist-open-data.s3.amazonaws.com/photos/9280736/medium.jpg,,"",,2,0,false,3,"Gunnison National Forest, Crested Butte, CO, US",38.98993,-106.9780883333,,,,,,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7283728,Sun Jul 30 2017 10:55:55 GMT-0600 (MDT),2017-07-30,2017-07-30 16:55:55 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-30 21:28:04 UTC,2021-01-25 00:47:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7283728,https://inaturalist-open-data.s3.amazonaws.com/photos/9419490/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.9855521778,-106.9690903836,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7283761,Sun Jul 30 2017 11:00:05 GMT-0600 (MDT),2017-07-30,2017-07-30 17:00:05 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-30 21:30:17 UTC,2021-01-25 00:47:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7283761,https://inaturalist-open-data.s3.amazonaws.com/photos/9419564/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.984936988,-106.9683854655,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7283814,Sun Jul 30 2017 11:02:43 GMT-0600 (MDT),2017-07-30,2017-07-30 17:02:43 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-30 21:34:52 UTC,2021-01-25 00:47:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7283814,https://inaturalist-open-data.s3.amazonaws.com/photos/9419665/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.9840720594,-106.9681246207,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7283895,Sun Jul 30 2017 11:29:50 GMT-0600 (MDT),2017-07-30,2017-07-30 17:29:50 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-30 21:40:52 UTC,2021-01-25 00:46:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7283895,https://inaturalist-open-data.s3.amazonaws.com/photos/9419803/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.9827700565,-106.968274573,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
7283955,Sun Jul 30 2017 11:33:02 GMT-0600 (MDT),2017-07-30,2017-07-30 17:33:02 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2017-07-30 21:44:11 UTC,2021-01-25 00:45:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7283955,https://inaturalist-open-data.s3.amazonaws.com/photos/9419893/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",38.982055164,-106.9687711169,10,,,,10,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
15335160,Sat Aug 11 2018 08:57:47 GMT-0600 (MDT),2018-08-11,2018-08-11 14:57:47 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2018-08-12 00:30:56 UTC,2021-01-25 00:29:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15335160,https://inaturalist-open-data.s3.amazonaws.com/photos/22968402/medium.jpg,,"",,2,0,false,3,"Gunnison County, US-CO, US",39.0064531239,-107.0476467536,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
28320533,Sat Jul 06 2019 11:39:52 GMT-0600 (MDT),2019-07-06,2019-07-06 17:39:52 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2019-07-06 21:24:55 UTC,2021-01-25 16:31:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28320533,https://inaturalist-open-data.s3.amazonaws.com/photos/44137222/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9834896429,-106.9777994325,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
31028181,Wed Aug 14 2019 14:05:39 GMT-0600 (MDT),2019-08-14,2019-08-14 20:05:39 UTC,Mountain Time (US & Canada),2082687,dkairns,,2019-08-18 01:28:56 UTC,2021-01-26 14:30:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31028181,https://inaturalist-open-data.s3.amazonaws.com/photos/48519071/medium.jpg,,"",,3,0,false,3,"White River National Forest, Carbondale, CO, US",39.0367888333,-107.0347666667,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
31759766,Thu Aug 29 2019 13:03:05 GMT-0600 (MDT),2019-08-29,2019-08-29 19:03:05 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2019-08-29 23:55:09 UTC,2021-01-25 16:48:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31759766,https://inaturalist-open-data.s3.amazonaws.com/photos/49742899/medium.jpg,,"",,4,0,false,3,"Gunnison County, US-CO, US",38.9844522206,-106.9690162038,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
31759839,Thu Aug 29 2019 13:05:15 GMT-0600 (MDT),2019-08-29,2019-08-29 19:05:15 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2019-08-29 23:55:41 UTC,2021-01-25 16:48:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31759839,https://inaturalist-open-data.s3.amazonaws.com/photos/49742952/medium.jpg,,"",,4,0,false,3,"Gunnison County, US-CO, US",38.9848281071,-106.9688398485,10,,,,10,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
31759892,Thu Aug 29 2019 13:27:34 GMT-0600 (MDT),2019-08-29,2019-08-29 19:27:34 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2019-08-29 23:57:04 UTC,2021-01-25 04:53:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31759892,https://inaturalist-open-data.s3.amazonaws.com/photos/49743093/medium.jpg,,"",,3,0,false,3,"Gunnison County, US-CO, US",38.9859711053,-106.9688706101,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
31817447,2019-08-29 2:17:14 PM MDT,2019-08-29,2019-08-29 20:17:14 UTC,Mountain Time (US & Canada),239943,ian22,Ian Breckheimer,2019-08-30 22:50:53 UTC,2021-01-24 21:00:16 UTC,research,,https://www.inaturalist.org/observations/31817447,https://static.inaturalist.org/photos/49837603/medium.jpeg,,"",,2,0,false,2,"Gunnison County, US-CO, US",38.98651409,-106.96916785,9,,,,9,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
51682413,Tue Jun 30 2020 16:02:38 GMT-0600 (MDT),2020-06-30,2020-06-30 22:02:38 UTC,Mountain Time (US & Canada),1203011,cbrown43,"",2020-07-02 12:25:32 UTC,2021-01-25 16:31:13 UTC,research,,https://www.inaturalist.org/observations/51682413,https://static.inaturalist.org/photos/82129602/medium.jpg,,"",,2,0,false,3,"Grand Mesa National Forest, Crested Butte, CO, US",39.014925781,-107.0298790205,22,,,,22,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
52072930,Sun Jul 05 2020 10:17:28 GMT-0600 (MDT),2020-07-05,2020-07-05 16:17:28 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2020-07-05 21:19:58 UTC,2021-01-25 16:31:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52072930,https://inaturalist-open-data.s3.amazonaws.com/photos/82758396/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9802292083,-106.9791544509,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
52423871,Sun Jul 05 2020 11:49:29 GMT-0600 (MDT),2020-07-05,2020-07-05 17:49:29 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2020-07-09 00:32:55 UTC,2021-01-25 16:31:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52423871,https://inaturalist-open-data.s3.amazonaws.com/photos/83335465/medium.jpg,,"",,3,0,false,3,"Grand Mesa National Forest, Crested Butte, CO, US",38.98287,-106.97824167,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
52544482,Mon Jul 06 2020 10:56:16 GMT-0600 (MDT),2020-07-06,2020-07-06 16:56:16 UTC,Mountain Time (US & Canada),1828782,bpogoloff,Bpogoloff,2020-07-10 04:14:40 UTC,2021-02-03 22:17:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/52544482,https://inaturalist-open-data.s3.amazonaws.com/photos/83535920/medium.jpg,,"",Summit of Mt Avery near Gothic. ,3,0,false,3,"Grand Mesa National Forest, Crested Butte, CO, US",38.982845,-106.97823333,16,,,,16,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
53906648,Sun Jul 19 2020 09:30:36 GMT-0600 (MDT),2020-07-19,2020-07-19 15:30:36 UTC,Mountain Time (US & Canada),277268,tom35,Tom Zeiner,2020-07-22 01:54:42 UTC,2021-01-25 16:30:46 UTC,research,,https://www.inaturalist.org/observations/53906648,https://inaturalist-open-data.s3.amazonaws.com/photos/85752497/medium.jpg,,"",,2,0,false,3,"Grand Mesa National Forest, Crested Butte, CO, US",38.98038833,-106.97486167,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
54466149,Sun Jul 26 2020 12:02:37 GMT-0600 (MDT),2020-07-26,2020-07-26 18:02:37 UTC,Mountain Time (US & Canada),1052492,mnepokro,,2020-07-26 23:52:09 UTC,2020-08-13 19:06:26 UTC,research,,https://www.inaturalist.org/observations/54466149,https://static.inaturalist.org/photos/86665868/medium.jpg,,"",,2,0,false,3,"Grand Mesa National Forest, Crested Butte, CO, US",39.01018055,-107.03199717,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
55081065,Sat Aug 01 2020 11:52:47 GMT-0600 (MDT),2020-08-01,2020-08-01 17:52:47 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2020-08-01 21:00:51 UTC,2021-01-25 16:30:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55081065,https://inaturalist-open-data.s3.amazonaws.com/photos/87681637/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9924549684,-106.9792987873,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
55081790,Sat Aug 01 2020 12:01:20 GMT-0600 (MDT),2020-08-01,2020-08-01 18:01:20 UTC,Mountain Time (US & Canada),134479,rick_williams,Rick Williams,2020-08-01 21:07:28 UTC,2021-01-24 20:33:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55081790,https://inaturalist-open-data.s3.amazonaws.com/photos/87682817/medium.jpg,,"",,1,0,false,3,"Gunnison County, US-CO, US",38.9922887972,-106.9795986918,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
55082285,Sat Aug 01 2020 10:33:50 GMT-0600 (MDT),2020-08-01,2020-08-01 16:33:50 UTC,Mountain Time (US & Canada),153596,rosemary_smith,Rosemary J. Smith,2020-08-01 21:11:27 UTC,2021-01-25 16:30:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55082285,https://inaturalist-open-data.s3.amazonaws.com/photos/87697359/medium.jpg,,"",,3,0,false,3,"Gunnison County, US-CO, US",38.9914444881,-106.9818334748,5,,,,5,,,false,,,Colorado Buckwheat,Eriogonum coloradense,Colorado Buckwheat,Plantae,162593
