"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.08559746437102
"XGB Poisson Spat.","MSE",269.647894995147
"XGB Poisson Spat.","RMSE",16.4209590156954
"XGB Poisson","MAE",6.61104862275747
"XGB Poisson","MSE",184.65131301516
"XGB Poisson","RMSE",13.5886464747288
"XBG Tweedie Spat.","MAE",7.35729258740001
"XBG Tweedie Spat.","MSE",267.833038870215
"XBG Tweedie Spat.","RMSE",16.3656053621678
"XGB Tweedie","MAE",7.95430284439899
"XGB Tweedie","MSE",519.262239598232
"XGB Tweedie","RMSE",22.78732629332
