"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",6.94200453874783
"XGB Poisson Spat.","MSE",247.535223031495
"XGB Poisson Spat.","RMSE",15.733252144153
"XGB Poisson","MAE",6.58119192281994
"XGB Poisson","MSE",180.168834843461
"XGB Poisson","RMSE",13.422698493353
"XBG Tweedie Spat.","MAE",7.1059923704762
"XBG Tweedie Spat.","MSE",235.676995725733
"XBG Tweedie Spat.","RMSE",15.3517750024462
"XGB Tweedie","MAE",6.08203610898783
"XGB Tweedie","MSE",171.292483760067
"XGB Tweedie","RMSE",13.0878754486764
