"Model","Metric","Value"
"Arithmatic Mean","MAE",9.90647796678498
"Arithmatic Mean","MSE",315.711353175726
"Arithmatic Mean","RMSE",17.7682681535294
"Kriging","MAE",9.76836661359329
"Kriging","MSE",365.424595202357
"Kriging","RMSE",19.1160821091132
"XGB Poisson Spat.","MAE",6.43926619633782
"XGB Poisson Spat.","MSE",209.274349552187
"XGB Poisson Spat.","RMSE",14.4663177606531
"XGB Poisson","MAE",5.74096745328495
"XGB Poisson","MSE",142.916324630036
"XGB Poisson","RMSE",11.9547615881721
"XBG Tweedie Spat.","MAE",5.22920903776281
"XBG Tweedie Spat.","MSE",138.277996484427
"XBG Tweedie Spat.","RMSE",11.7591664876566
"XGB Tweedie","MAE",6.46629563066893
"XGB Tweedie","MSE",259.156986677968
"XGB Tweedie","RMSE",16.098353539352
