"Model","Metric","Value"
"Arithmetic Mean","MAE",9.90647796678498
"Arithmetic Mean","MSE",315.711353175726
"Arithmetic Mean","RMSE",17.7682681535294
"Kriging","MAE",9.76836661359329
"Kriging","MSE",365.424595202357
"Kriging","RMSE",19.1160821091132
"XGB Poisson Spat.","MAE",6.30488376605273
"XGB Poisson Spat.","MSE",181.881145130702
"XGB Poisson Spat.","RMSE",13.4863317892858
"XGB Poisson","MAE",5.71843141455341
"XGB Poisson","MSE",141.167515960609
"XGB Poisson","RMSE",11.8813936876365
"XBG Tweedie Spat.","MAE",7.16281380920484
"XBG Tweedie Spat.","MSE",326.091263938914
"XBG Tweedie Spat.","RMSE",18.0579972294525
"XGB Tweedie","MAE",6.08750859972578
"XGB Tweedie","MSE",224.1036580837
"XGB Tweedie","RMSE",14.9700921200806
"LGBM Poisson Spat.","MAE",5.99685905459087
"LGBM Poisson Spat.","MSE",144.060807881721
"LGBM Poisson Spat.","RMSE",12.0025333943181
