"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.31515983078595
"XGB Poisson Spat.","MSE",237.994770804111
"XGB Poisson Spat.","RMSE",15.4270791403983
"XGB Poisson","MAE",7.29421139822914
"XGB Poisson","MSE",223.689404729831
"XGB Poisson","RMSE",14.956249688001
"XBG Tweedie Spat.","MAE",7.35121812096395
"XBG Tweedie Spat.","MSE",268.418123843976
"XBG Tweedie Spat.","RMSE",16.3834710560362
"XGB Tweedie","MAE",6.98307944547146
"XGB Tweedie","MSE",206.478792114772
"XGB Tweedie","RMSE",14.3693699275498
