"Model","Metric","Value"
"Arithmatic Mean","MAE",9.71611749023019
"Arithmatic Mean","MSE",263.056474661151
"Arithmatic Mean","RMSE",16.2190158351594
"Kriging","MAE",9.05282273506624
"Kriging","MSE",257.408454144507
"Kriging","RMSE",16.0439538189471
"XGB Poisson Spat.","MAE",7.2304476853631
"XGB Poisson Spat.","MSE",186.582503220843
"XGB Poisson Spat.","RMSE",13.659520607285
"XGB Poisson","MAE",7.35631256644537
"XGB Poisson","MSE",212.679538887411
"XGB Poisson","RMSE",14.5835365699617
"XBG Tweedie Spat.","MAE",7.01899744521553
"XBG Tweedie Spat.","MSE",197.218812750513
"XBG Tweedie Spat.","RMSE",14.0434615658147
"XGB Tweedie","MAE",6.9478709352835
"XGB Tweedie","MSE",188.464819943072
"XGB Tweedie","RMSE",13.7282489758553
