"Model","Metric","Value"
"Arithmetic Mean","MAE",NA
"Arithmetic Mean","MSE",NA
"Arithmetic Mean","RMSE",NA
"Kriging","MAE",9.90179325488451
"Kriging","MSE",405.404919733794
"Kriging","RMSE",20.1346695958437
"XGB Poisson Spat.","MAE",6.41701586176473
"XGB Poisson Spat.","MSE",242.296173322015
"XGB Poisson Spat.","RMSE",15.5658656464077
"XGB Poisson","MAE",6.95462876699685
"XGB Poisson","MSE",298.655323534457
"XGB Poisson","RMSE",17.2816470145197
"XBG Tweedie Spat.","MAE",14.7327047218979
"XBG Tweedie Spat.","MSE",3228.097057278
"XBG Tweedie Spat.","RMSE",56.8163449834464
"XGB Tweedie","MAE",6.40101235286262
"XGB Tweedie","MSE",244.639028259657
"XGB Tweedie","RMSE",15.6409407728454
"LGBM Poisson Spat.","MAE",5.69144759293303
"LGBM Poisson Spat.","MSE",203.33458624252
"LGBM Poisson Spat.","RMSE",14.2595436898423
