"threshold","patch"
"equal_sens_spec",100
"equal_sens_spec",134
"equal_sens_spec",180
"equal_sens_spec",296
"equal_sens_spec",302
"equal_sens_spec",332
"equal_sens_spec",351
"equal_sens_spec",507
"equal_sens_spec",609
"equal_sens_spec",674
"equal_sens_spec",1087
"equal_sens_spec",1268
"equal_sens_spec",1340
"sensitivity",15
"sensitivity",67
"sensitivity",69
"sensitivity",91
"sensitivity",99
"sensitivity",100
"sensitivity",106
"sensitivity",125
"sensitivity",137
"sensitivity",138
"sensitivity",149
"sensitivity",152
"sensitivity",153
"sensitivity",175
"sensitivity",179
"sensitivity",185
"sensitivity",189
"sensitivity",197
"sensitivity",201
"sensitivity",207
"sensitivity",241
"sensitivity",247
"sensitivity",254
"sensitivity",293
"sensitivity",384
"sensitivity",387
"sensitivity",400
"sensitivity",401
"sensitivity",403
"sensitivity",404
"sensitivity",405
"spec_sens",100
"spec_sens",134
"spec_sens",180
"spec_sens",296
"spec_sens",302
"spec_sens",332
"spec_sens",351
"spec_sens",507
"spec_sens",609
"spec_sens",674
"spec_sens",1087
"spec_sens",1268
"spec_sens",1340
