"model","resolution","iteration","pa_ratio","dist_order","seed","cv_structure","n","pr_auc"
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1016","1/3 arc-second",0,"1:1.25","0",1016,"spatial knndm",305,0.422023183139147
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1017","1/3 arc-second",0,"1:1.25","0",1017,"spatial knndm",305,0.413484533958038
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1018","1/3 arc-second",0,"1:1.25","0",1018,"spatial knndm",305,0.406549884960147
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1019","1/3 arc-second",0,"1:1.25","0",1019,"spatial knndm",305,0.50375775769964
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1020","1/3 arc-second",0,"1:1.25","0",1020,"spatial knndm",305,0.500342347052803
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1026","1/3 arc-second",0,"1:1.25","0",1026,"spatial knndm",305,0.394416780845361
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1027","1/3 arc-second",0,"1:1.25","0",1027,"spatial knndm",305,0.500141520585121
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1028","1/3 arc-second",0,"1:1.25","0",1028,"spatial knndm",305,0.475038198636568
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1029","1/3 arc-second",0,"1:1.25","0",1029,"spatial knndm",305,0.511226297192938
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1030","1/3 arc-second",0,"1:1.25","0",1030,"spatial knndm",305,0.513808005701464
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1031","1/3 arc-second",0,"1:1.25","0",1031,"spatial knndm",305,0.539346037731514
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1032","1/3 arc-second",0,"1:1.25","0",1032,"spatial knndm",305,0.42323208875284
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1033","1/3 arc-second",0,"1:1.25","0",1033,"spatial knndm",305,0.439921020156339
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1034","1/3 arc-second",0,"1:1.25","0",1034,"spatial knndm",305,0.396846356039559
"1-3arc-Iteration0-PA1:1.25DO:0-Seed1035","1/3 arc-second",0,"1:1.25","0",1035,"spatial knndm",305,0.471909788437496
"1-3arc-Iteration0-PA1:1.5DO:0-Seed1013","1/3 arc-second",0,"1:1.5","0",1013,"spatial knndm",305,0.527005420940454
"1-3arc-Iteration0-PA1:1.5DO:0-Seed1014","1/3 arc-second",0,"1:1.5","0",1014,"spatial knndm",305,0.403878113377046
"1-3arc-Iteration0-PA1:1.5DO:0-Seed1015","1/3 arc-second",0,"1:1.5","0",1015,"spatial knndm",305,0.493496399574499
"1-3arc-Iteration0-PA1:1.75DO:0-Seed1021","1/3 arc-second",0,"1:1.75","0",1021,"spatial knndm",305,0.406938021482922
"1-3arc-Iteration0-PA1:1.75DO:0-Seed1022","1/3 arc-second",0,"1:1.75","0",1022,"spatial knndm",305,0.476058491310708
"1-3arc-Iteration0-PA1:1.75DO:0-Seed1023","1/3 arc-second",0,"1:1.75","0",1023,"spatial knndm",305,0.401380000746337
"1-3arc-Iteration0-PA1:1.75DO:0-Seed1024","1/3 arc-second",0,"1:1.75","0",1024,"spatial knndm",305,0.383824803385952
"1-3arc-Iteration0-PA1:1.75DO:0-Seed1025","1/3 arc-second",0,"1:1.75","0",1025,"spatial knndm",305,0.395764329993928
"1-3arc-Iteration0-PA1:1DO:0-Seed1001","1/3 arc-second",0,"1:1","0",1001,"spatial knndm",305,0.48716804946321
"1-3arc-Iteration0-PA1:1DO:0-Seed1002","1/3 arc-second",0,"1:1","0",1002,"spatial knndm",305,0.439070302536937
"1-3arc-Iteration0-PA1:1DO:0-Seed1003","1/3 arc-second",0,"1:1","0",1003,"spatial knndm",305,0.526540210489508
"1-3arc-Iteration0-PA1:2DO:0-Seed1004","1/3 arc-second",0,"1:2","0",1004,"spatial knndm",305,0.390228972222588
"1-3arc-Iteration0-PA1:2DO:0-Seed1005","1/3 arc-second",0,"1:2","0",1005,"spatial knndm",305,0.439937490292141
"1-3arc-Iteration0-PA1:2DO:0-Seed1006","1/3 arc-second",0,"1:2","0",1006,"spatial knndm",305,0.428241250871592
"1-3arc-Iteration0-PA1:3DO:0-Seed1007","1/3 arc-second",0,"1:3","0",1007,"spatial knndm",305,0.421663424212614
"1-3arc-Iteration0-PA1:3DO:0-Seed1008","1/3 arc-second",0,"1:3","0",1008,"spatial knndm",305,0.444079744066341
"1-3arc-Iteration0-PA1:3DO:0-Seed1009","1/3 arc-second",0,"1:3","0",1009,"spatial knndm",305,0.408170888326719
"1-3arc-Iteration0-PA1:4DO:0-Seed1010","1/3 arc-second",0,"1:4","0",1010,"spatial knndm",305,0.443165689164056
"1-3arc-Iteration0-PA1:4DO:0-Seed1011","1/3 arc-second",0,"1:4","0",1011,"spatial knndm",305,0.419782696739128
"1-3arc-Iteration0-PA1:4DO:0-Seed1012","1/3 arc-second",0,"1:4","0",1012,"spatial knndm",305,0.458585092383902
"1-3arc-Iteration1-PA1:1DO:0-Seed1001","1/3 arc-second",1,"1:1","0",1001,"spatial knndm",305,0.497647443497157
"1-3arc-Iteration1-PA1:1DO:0-Seed1002","1/3 arc-second",1,"1:1","0",1002,"spatial knndm",305,0.452214245000645
"1-3arc-Iteration1-PA1:1DO:0-Seed1003","1/3 arc-second",1,"1:1","0",1003,"spatial knndm",305,0.468536520702238
