"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1/3 arc-second","spatial knndm",1,"1:3.95750708215297","0",3,58,0.716317838604873,0.0177585482838802,0.695816308112611,0.726931195573287,0.308115867705527,0.00142177810186789
"1/3 arc-second","spatial knndm",1,"1:3","0",3,58,0.71288301010856,0.0190395111540984,0.690939988875496,0.725029616193997,0.355946320782484,0.0024419698269575
"1/3 arc-second","classic",1,"1:3.95750708215297","0",3,58,0.71194336576704,0.0143252620462237,0.695934797061158,0.723554231421541,0.823474169828354,0.0480158262575435
"1/3 arc-second","classic",1,"1:3.71813031161473","0",5,58,0.71028785361115,0.0179142455846327,0.685359839110047,0.732371366908594,0.836756497228125,0.0357271000851679
"1/3 arc-second","classic",1,"1:2","0",3,58,0.709460232517296,0.00813149092367619,0.700102518454696,0.714806948279014,0.874526665917554,0.0209381868071314
"1/3 arc-second","classic",1,"1:1.25","0",5,58,0.706065734019607,0.0265650980929968,0.665343199302905,0.72811946617175,0.898761223666812,0.0121159556670496
"1/3 arc-second","classic",1,"1:2.25","0",5,58,0.69928352314578,0.0212775616654681,0.677729701270865,0.726518987703736,0.853920156392525,0.038291811905453
"1/3 arc-second","classic",1,"1:2.5","0",3,58,0.699116618120883,0.0247155986957765,0.681545548295333,0.727377880177462,0.849636176046138,0.0394003527119288
"1/3 arc-second","spatial knndm",1,"1:2","0",3,58,0.697084447801868,0.0108483584219044,0.685118777036341,0.706277255583013,0.46074463642862,0.0244563264446923
"1/3 arc-second","classic",1,"1:1","0",13,58,0.693503040710259,0.0326274954890955,0.631345058025198,0.741116348204611,0.909072250104213,0.0418637872960278
"1/3 arc-second","classic",1,"1:3.23937677053824","0",5,58,0.691870529654225,0.0348393617886015,0.664221449330378,0.752447399237441,0.833231102039812,0.0297274613425475
"1/3 arc-second","classic",1,"1:1.75","0",5,58,0.690916816854891,0.0286339025386122,0.659817544544706,0.724367421442292,0.889247583579931,0.0458710493933544
"1 arc-second","spatial knndm",0,"1:1.75","0",5,58,0.69078047059583,0.0232079648329433,0.676394719988614,0.73,0.874263932797207,0.0341560414136072
"1/3 arc-second","classic",1,"1:3","0",3,58,0.686749469231601,0.0300835463996767,0.652178326051312,0.706975586415251,0.844465791406414,0.0406439058595039
"1/3 arc-second","classic",1,"1:2.75","0",5,58,0.685444222705359,0.0373353274141744,0.628552495615033,0.725107294073005,0.842716736402495,0.0496902218280672
"1/3 arc-second","classic",1,"1:1.5","0",3,58,0.683053585817701,0.0557963174061526,0.618978024700587,0.720919821294449,0.89913414941399,0.010870806797058
"1/3 arc-second","spatial knndm",1,"1:1","0",13,58,0.672640475674691,0.0336310940341259,0.61764207822974,0.745427843230387,0.550829738904793,0.0259620344400474
"3 arc-second","spatial knndm",1,"1:4","0",4,58,0.663537763430121,0.0283450824842564,0.630952174714758,0.696912471761407,0.618393063952568,0.118810177696964
"1 arc-second","spatial knndm",0,"1:2.75","0",5,58,0.663267102845138,0.0658097215463283,0.591160204554172,0.726076586036141,0.82979037325378,0.0396969621514799
"1/3 arc-second","spatial knndm",0,"1:1.5","0",3,58,0.661372622396386,0.129685199857603,0.511635709864981,0.737788279773157,0.73656761672626,0.102499964050798
"3 arc-second","spatial knndm",1,"1:3","0",4,58,0.660755441188158,0.0223735210848579,0.642711142785513,0.689377174222056,0.670414662324052,0.138106872424134
"1 arc-second","spatial knndm",1,"1:2.25","0",5,58,0.660541643537389,0.0280461458006616,0.616555714769797,0.68794720262984,0.959307802674929,0.00874581636077097
"1/3 arc-second","classic",1,"1:3.47875354107649","0",3,58,0.656377931390346,0.00559631600790807,0.650042748820828,0.660649084734313,0.814439160083792,0.0645503282679508
"1 arc-second","spatial knndm",0,"1:2.5","0",3,58,0.656145967797259,0.028689947775553,0.639581129238085,0.689274265930196,0.799643847277209,0.012654127201932
"3 arc-second","classic",1,"1:2","0",3,58,0.647396973703279,0.0861674803406112,0.548961674919691,0.709172633816876,0.788094866915098,0.0562194296375014
"1 arc-second","spatial knndm",1,"1:3.5","0",3,58,0.647192863544449,0.0271731129348428,0.617649829676507,0.671117791262272,0.893248330064573,0.0326316308653891
"3 arc-second","spatial knndm",1,"1:5","0",4,58,0.646773288271144,0.0507035633594968,0.588247990991168,0.689508607195049,0.519927637098486,0.0634876293580267
"1 arc-second","spatial knndm",1,"1:2.75","0",5,58,0.645773594379132,0.0158406129270407,0.623396837876437,0.667087010533556,0.943281894309905,0.014387791564106
"1 arc-second","spatial knndm",0,"1:3.5","0",3,58,0.645123244084453,0.05261091717778,0.593256271193495,0.698447813908172,0.797594001335791,0.0238681967075188
"1 arc-second","spatial knndm",0,"1:2.25","0",5,58,0.644594541637013,0.0841136826622343,0.503094406706912,0.721153846153846,0.84782570951898,0.033512068998627
"1 arc-second","classic",1,"1:3","0",3,58,0.643207520829522,0.0290699297876945,0.622606951470508,0.676459346294449,0.79914471815527,0.0405714203018607
"1 arc-second","spatial knndm",1,"1:3.75","0",5,58,0.635018618644005,0.0300130410674341,0.59878030729182,0.666832681885014,0.903557780031293,0.0238372734136838
"1/3 arc-second","spatial knndm",0,"1:1","0",3,58,0.63274417706175,0.0869213770155969,0.543366548697096,0.716981132075472,0.710941852233039,0.0314835349807824
"1 arc-second","classic",1,"1:4","0",3,58,0.629933971774136,0.0368814365805092,0.58921313948512,0.661092569594718,0.769777107835254,0.0544270282794535
"1/3 arc-second","spatial knndm",0,"1:1.25","0",15,58,0.626093682751152,0.0973498362320548,0.492627065889161,0.731271682859636,0.758560477649684,0.0594443075116084
"1 arc-second","spatial knndm",1,"1:4","0",3,58,0.624642333066647,0.0550697011112883,0.572122161720639,0.681949088155647,0.914832224506923,0.0256281731185647
"3 arc-second","classic",1,"1:3","0",3,58,0.624540961347943,0.0244716429946145,0.599726323675279,0.648654544692506,0.811365826262583,0.116915593000705
"1 arc-second","spatial knndm",1,"1:3.25","0",5,58,0.623293217813776,0.0519982474144929,0.554144455237759,0.688869548695366,0.926633729511817,0.0259527321185182
"1 arc-second","spatial knndm",0,"1:2","0",3,58,0.622976474994436,0.0865681533226966,0.525358322601716,0.690415296553404,0.841893166239045,0.0208980523331828
"3 arc-second","classic",1,"1:4","0",3,58,0.622068875724207,0.0311624882782466,0.58721525958887,0.647242925714636,0.702470324041018,0.0789260554837945
"1 arc-second","spatial knndm",1,"1:3","0",3,58,0.619683080586619,0.0410329094751355,0.574090172773588,0.653644870487137,0.934135213015611,0.0307048220895105
"1/3 arc-second","spatial knndm",0,"1:4","0",3,58,0.617246598564702,0.0517903511808747,0.566491214992315,0.670013316515643,0.655193496189158,0.030375268259598
"1 arc-second","spatial knndm",1,"1:2.5","0",3,58,0.616981476318795,0.0497496667987397,0.564230911880674,0.663056068428823,0.938324070690926,0.0252137383833736
"1 arc-second","classic",1,"1:1","0",13,58,0.615757382958148,0.0220279621488312,0.573873449731961,0.649162653303271,0.907206805446816,0.0483198481686834
"1 arc-second","spatial knndm",0,"1:3.25","0",5,58,0.613854785859753,0.0716140371125135,0.525426207480846,0.674717714918338,0.83118014777919,0.0339216992677451
"1/3 arc-second","classic",0,"1:3","0",3,58,0.613719585213565,0.00711131361686308,0.605544894413529,0.618478945568948,0.96806088706745,0.00349758653483407
"1 arc-second","spatial knndm",0,"1:1.5","0",3,58,0.613420810063542,0.0818629281046241,0.548017768661926,0.705227073631795,0.888163445724861,0.0312159740471978
"1 arc-second","classic",0,"1:3.5","0",3,58,0.612579717465882,0.0991152203243063,0.544119530497996,0.726237318780408,0.946530076491325,0.0175473268360508
"1/3 arc-second","classic",0,"1:4","0",3,58,0.611366247936832,0.0432012239445337,0.57506078973692,0.659146346629389,0.966021953278255,0.0280926868733099
"3 arc-second","spatial knndm",1,"1:2","0",4,58,0.610309548392359,0.087795126569694,0.506483287649956,0.700420260808889,0.709583989752896,0.0909173522089594
"1 arc-second","classic",1,"1:2","0",3,58,0.608590736673317,0.0254519557208813,0.584701125716843,0.635360079792875,0.828168046010482,0.0537947359573809
"1/3 arc-second","classic",0,"1:2.5","0",3,58,0.60827428268599,0.0335278887204367,0.586279634236028,0.646863198052512,0.966067775436865,0.0111088709658964
"1 arc-second","spatial knndm",0,"1:3","0",3,58,0.608157636701872,0.0773418808339158,0.558706390541641,0.697285877902898,0.83180109253196,0.0435438444688193
"1 arc-second","spatial knndm",1,"1:1.25","0",5,58,0.605683414527194,0.0690689642396445,0.523369095264272,0.664660374811941,0.965838613790958,0.0166668151350872
"1 arc-second","spatial knndm",0,"1:3.75","0",5,58,0.601863389325198,0.0772686522476875,0.539845331648558,0.721153846153846,0.809134020025536,0.0318316683678793
"1 arc-second","classic",0,"1:3.25","0",5,58,0.601297625143797,0.0561944140737784,0.510475295810579,0.652739374409125,0.910771054129557,0.0328570483932931
"1 arc-second","spatial knndm",1,"1:2","0",3,58,0.600116579173186,0.0673174412239109,0.524273167382405,0.652785168091276,0.95531446655613,0.0223142934860027
"1/3 arc-second","classic",0,"1:1.75","0",5,58,0.593974002518747,0.0950506881314557,0.498546274810892,0.704782608695652,0.979811016381336,0.0157014329618918
"3 arc-second","spatial knndm",0,"1:3","0",3,58,0.593503992663014,0.0346878884316734,0.571049331673195,0.633455716166696,0.950370168607527,0.00870042287585622
"1 arc-second","classic",0,"1:3.75","0",5,58,0.592093163875983,0.0464105093014542,0.537314960744528,0.663201451797436,0.954114994728187,0.0203202744682743
"1 arc-second","classic",0,"1:1.5","0",3,58,0.590169198215647,0.114519208179026,0.49321316802116,0.716520798042537,0.987747537280637,0.00745175159360833
"1 arc-second","classic",0,"1:2","0",3,58,0.590125974305597,0.0152040815804295,0.580926778633715,0.607675290128706,0.957906765302456,0.0331788098842536
"1 arc-second","spatial knndm",1,"1:1.75","0",5,58,0.58954623244234,0.0621783997799251,0.514114083664492,0.673854043483603,0.959500297294342,0.00730351744980905
"1 arc-second","classic",0,"1:2.5","0",3,58,0.587395497301251,0.0515568203886352,0.555050936388441,0.646851467100227,0.930327484233984,0.0772959539152884
"1/3 arc-second","classic",0,"1:3.5","0",3,58,0.582774457891791,0.0301913138546912,0.548923534468672,0.606918068245769,0.97186692381772,0.0165607576777394
"1 arc-second","classic",0,"1:3","0",3,58,0.582505475827884,0.0355036123988998,0.541738898144875,0.606639911345096,0.941099430294553,0.0141637485031608
"1 arc-second","classic",0,"1:1.75","0",5,58,0.580951355816403,0.0656056910878683,0.50668459838233,0.656424645822804,0.94654953768681,0.0371640274193733
"1/3 arc-second","classic",0,"1:2","0",3,58,0.580763487655476,0.0921607011303473,0.49710595741631,0.679554152835973,0.986160902725548,0.0158189185941628
"1 arc-second","spatial knndm",0,"1:4","0",3,58,0.580152512632814,0.0544171791907546,0.53407418378802,0.640189245883878,0.85226962466349,0.0388616618225482
"1 arc-second","spatial knndm",1,"1:1","0",13,58,0.579642862674497,0.0638060608671437,0.429401315737082,0.656797365804415,0.972531135920164,0.0126573580239275
