"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1/3 arc-second","classic",1,"1:1.25","0",5,305,0.573728484421513,0.0122759656469436,0.554165965839732,0.586442960399084,0.898761223666812,0.0121159556670496
"1/3 arc-second","classic",1,"1:2.5","0",3,305,0.572240867769006,0.00866997121866529,0.562272112352002,0.578022953136645,0.849636176046138,0.0394003527119288
"1/3 arc-second","classic",1,"1:3.95750708215297","0",3,305,0.570887580266807,0.00583427462842183,0.564229900726982,0.575108181102585,0.823474169828354,0.0480158262575435
"1/3 arc-second","classic",1,"1:2.25","0",5,305,0.56352558261255,0.0242303639509466,0.529854287229996,0.592788955392066,0.853920156392525,0.038291811905453
"1/3 arc-second","classic",1,"1:3.71813031161473","0",5,305,0.563165928663124,0.0148792216806044,0.546803654210524,0.585095702132496,0.836756497228125,0.0357271000851679
"1/3 arc-second","classic",1,"1:1.75","0",5,305,0.562065990118432,0.0217607871810359,0.533424388401684,0.582815463148627,0.889247583579931,0.0458710493933544
"1/3 arc-second","classic",1,"1:2.75","0",5,305,0.561637152246166,0.024944275534403,0.526241403009197,0.586269795595265,0.842716736402495,0.0496902218280672
"1/3 arc-second","classic",1,"1:1","0",13,305,0.558850851079834,0.0217659453459813,0.51286252614321,0.586673917375635,0.909072250104213,0.0418637872960278
"1/3 arc-second","classic",1,"1:2","0",3,305,0.558215568079685,0.0138757588348536,0.542373968072037,0.568214700381598,0.874526665917554,0.0209381868071314
"1/3 arc-second","classic",1,"1:1.5","0",3,305,0.557209366201775,0.0396625336489559,0.511503443566049,0.582580869253924,0.89913414941399,0.010870806797058
"1/3 arc-second","classic",1,"1:3.23937677053824","0",5,305,0.553552120481398,0.0345380963749605,0.522968877370809,0.602699859243579,0.833231102039812,0.0297274613425475
"1/3 arc-second","classic",1,"1:3","0",3,305,0.552604203673714,0.0211320840463419,0.528606439242245,0.568430023681005,0.844465791406414,0.0406439058595039
"1 arc-second","classic",1,"1:3","0",3,305,0.533033274104372,0.0204232030936646,0.520093000557174,0.556577344665995,0.79914471815527,0.0405714203018607
"1 arc-second","classic",1,"1:2","0",3,305,0.527206363049381,0.0150657944265541,0.509899048759089,0.537383442573906,0.828168046010482,0.0537947359573809
"1/3 arc-second","classic",1,"1:3.47875354107649","0",3,305,0.523442994178329,0.0197554288894315,0.502333628289787,0.541485866118822,0.814439160083792,0.0645503282679508
"1 arc-second","classic",1,"1:1","0",13,305,0.520915012830626,0.0238993710948931,0.467710102871207,0.556142700053152,0.907206805446816,0.0483198481686834
"3 arc-second","classic",1,"1:2","0",3,305,0.514476853794045,0.00427380731185096,0.510805112889548,0.519168274628709,0.788094866915098,0.0562194296375014
"1 arc-second","spatial knndm",1,"1:2.25","0",5,305,0.509985327856634,0.0319336541209038,0.456731303201834,0.538558144864003,0.959307802674929,0.00874581636077097
"3 arc-second","classic",1,"1:3","0",3,305,0.509252405913471,0.025771908406917,0.491438472398785,0.538803720383572,0.811365826262583,0.116915593000705
"1/3 arc-second","spatial knndm",1,"1:3","0",3,305,0.505305138541028,0.00548544314690588,0.499121529589099,0.509585354463062,0.355946320782484,0.0024419698269575
"1 arc-second","classic",1,"1:4","0",3,305,0.503332323447563,0.0291850185460422,0.477670264372203,0.535080523771129,0.769777107835254,0.0544270282794535
"3 arc-second","classic",1,"1:4","0",3,305,0.503226087470917,0.0105697111480459,0.496918832530321,0.515428620681075,0.702470324041018,0.0789260554837945
"1 arc-second","spatial knndm",1,"1:2.75","0",5,305,0.499959344704172,0.0240325533461992,0.476519265526829,0.533818251204255,0.943281894309905,0.014387791564106
