"ratio","seed","metric"
1,1001,0.954082522336998
1,1002,0.970296964939822
1,1003,0.941815734390922
2,1004,0.980909863945578
2,1005,1
2,1006,0.942583738476233
3,1007,0.921837182994844
3,1008,0.963624338624339
3,1009,0.989769754055468
4,1010,0.864831352121268
4,1011,0.94697862308499
4,1012,0.957346574993634
1.5,1013,0.957135589278446
1.5,1014,0.970508658008658
1.5,1015,0.985475536368393
2.5,1016,0.984046310832025
2.5,1017,0.88367579295831
2.5,1018,0.99077380952381
3.5,1019,0.92734281212485
3.5,1020,0.902564992248039
3.5,1021,0.954288766788767
1.25,1022,0.99077380952381
1.25,1023,1
1.25,1024,0.963348936065654
1.25,1025,0.980680868838764
1.25,1026,0.954003708506814
1.75,1027,1
1.75,1028,0.975595238095238
1.75,1029,0.941012938729657
1.75,1030,0.889438431938432
1.75,1031,0.970508658008658
2.25,1032,0.963624338624339
2.25,1033,0.978361857563538
2.25,1034,0.995068027210884
2.25,1035,0.903089322685596
2.25,1036,1
2.75,1037,0.928929128751799
2.75,1038,0.947482629415403
2.75,1039,0.922275830622104
2.75,1040,0.95499462943072
2.75,1041,0.945149780433032
3.25,1042,0.858760985299739
3.25,1043,0.930808745785704
3.25,1044,0.931744139963678
3.25,1045,0.89796123273871
3.25,1046,0.963624338624339
3.75,1047,0.930945486302629
3.75,1048,0.960710313046242
3.75,1049,0.905454534518574
3.75,1050,0.884758836645026
3.75,1051,0.980680868838764
1.25,1052,0.952259164535379
1.25,1053,0.93699604743083
1.25,1054,0.975186420722135
1.25,1055,0.973796185140723
1.25,1056,0.977137104841937
1.25,1057,0.880272166221414
1.25,1058,0.949446958270488
1.25,1059,0.922049483669066
1.25,1060,0.90314425549388
1.25,1061,0.96107535321821
